group	cat	Metallophore	NRPS	PKS	Terpene	Other
BGC_Enriched_Pezizomycotina	full	1.7250166594218148	35.29257623947547	39.25626560917176	13.686523610839224	21.518262543001125
BGC_Enriched_Pezizomycotina	strict	2.561725618515901	30.835829600172403	58.29728121697483	20.325089598880318	5.026366205967478
Agaricomycetes	full	1.5812492408858487	34.07932307875268	10.201239519615289	43.793366074056394	14.936368545397857
Agaricomycetes	strict	2.5716589372335728	13.23715362852306	16.590748696127175	71.22318123156582	3.844702347595561
Cyanobacteriota	full	4.298592318357872	35.759733715454985	20.83302216894101	18.943469432012613	37.96930708170084
Cyanobacteriota	strict	4.8649414705819805	32.41389780769759	23.496737077230232	21.439313898859417	37.85388535655743
Myxococcota	full	2.108828828990059	34.82857194949163	28.008361760103746	15.040363087139996	38.44042816381649
Myxococcota	strict	2.575074820774333	34.409033345097775	33.300776234802285	18.365672807852384	33.849967274447735
Actinomycetota	full	7.669959810411154	27.151243217181726	25.387577216674163	16.696659310718477	37.38398734118415
Actinomycetota	strict	8.281108261454937	26.19824232554775	27.188497144883467	18.158019254250206	35.71422902254744
