statistic	clade	clade_ploidy	number_of_genomes	avg_ogs	total_ogs	total_phylo_distance
1999.15	Yeast Ascomycota	Variable	18	4174.333333333333	14088	4.958941500000001
2517.718	Yeast Basidiomycota	Variable	4	4699.5	7274	1.0225531
4391.789	Rhizophydiales	Diploid+ Dominant	15	5188.8	17499	2.8030034699999997
4620.874	Zoopagomycota	Diploid+ Dominant	13	5037.923076923077	21781	3.6233575
5091.201	Non-yeast Basidiomycota	Diploid+ Dominant	10	5869.6	22689	3.3036215999999996
#6062.07	Dikarya	Variable	133	6397.541353383459	144482	22.77843522000001
#6450.423	All Fungal Genomes	Variable	252	6389.849206349207	310447	47.13755093490004
6823.606	Blastocladiomycota	Diploid+ Dominant	7	6382.857142857143	16526	1.4864784000000002
#6885.156	Zoosporic or Basal Fungi	Variable	89	6497.898876404494	129841	17.914351344900002
7071.008	Spizellomycetales & Rhizophlyctidales	Haploid Dominant	20	6534.15	25449	2.6749865089000004
#7536.883	Zygomycota	Variable	29	6011.793103448276	50264	5.87141997
8697.901	Pezizomycotina	Haploid Dominant	98	6988.663265306122	113425	12.237013419999998
9634.736	Chytridiales	Diploid+ Dominant	26	6984.923076923077	44123	3.8546025660000005
12345.057	Mucoromycota	Haploid Dominant	16	6803.0625	34083	2.2097862700000004
95961.407	Neocallimastigomycota	Haploid Dominant	5	9831.2	24042	0.14808870000000002
