variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
AA12	1.79E-01	1.35E-27	1.75E-10	2.56E+05	3.92E+04	2.86E-01	
AA7	4.54E-01	5.82E-01	6.09E-08	9.84E+04	1.79E+04	2.44E-01	
GT75	1.87E-02	2.60E-02	4.21E-07	2.01E+05	3.92E+04	2.28E-01	
CBM40	2.71E-02	2.77E-04	2.64E-06	2.01E+05	4.22E+04	2.13E-01	
GH65	1.94E-01	3.14E-32	6.68E-05	1.41E+05	3.51E+04	1.81E-01	
PL9	1.48E-01	5.86E-24	9.05E-05	1.08E+05	2.73E+04	1.78E-01	
PL11	1.46E-02	4.59E-02	1.08E-04	3.10E+05	7.95E+04	1.76E-01	
PL11_1	1.46E-02	4.59E-02	1.08E-04	3.10E+05	7.95E+04	1.76E-01	
PL11_2	1.46E-02	4.59E-02	1.08E-04	3.10E+05	7.95E+04	1.76E-01	
GH39	5.83E-02	9.12E-05	1.32E-04	1.21E+05	3.14E+04	1.74E-01	
PL12	2.08E-02	1.16E-01	1.69E-04	1.38E+05	3.63E+04	1.71E-01	
CE20	1.67E-02	1.50E-01	1.91E-04	3.34E+05	8.90E+04	1.69E-01	
GH10	1.79E-01	1.35E-16	2.49E-04	8.49E+04	2.30E+04	1.66E-01	
GH18	9.38E-02	6.38E-05	2.92E-04	7.40E+04	2.03E+04	1.65E-01	
GT35	9.85E-01	4.08E-01	4.26E-04	1.71E+05	4.81E+04	1.60E-01	
GT39	3.35E-01	8.25E-37	4.93E-04	2.73E+05	7.79E+04	1.58E-01	
PL9_2	1.33E-01	2.43E-22	5.40E-04	9.12E+04	2.62E+04	1.57E-01	
GH5_36	1.87E-02	3.85E-03	5.81E-04	1.88E+05	5.43E+04	1.56E-01	
GH5_37	1.87E-02	3.85E-03	5.81E-04	1.88E+05	5.43E+04	1.56E-01	
GH5_38	1.87E-02	3.85E-03	5.81E-04	1.88E+05	5.43E+04	1.56E-01	
GH5_52	1.87E-02	3.85E-03	5.81E-04	1.88E+05	5.43E+04	1.56E-01	
GH55	4.79E-02	2.30E-06	6.51E-04	1.32E+05	3.84E+04	1.55E-01	
GH5_46	5.42E-02	1.14E-06	8.04E-04	1.31E+05	3.89E+04	1.52E-01	
GH5_25	2.50E-02	1.60E-02	9.52E-04	1.63E+05	4.91E+04	1.50E-01	
GH5_39	2.50E-02	1.60E-02	9.52E-04	1.63E+05	4.91E+04	1.50E-01	
GH5_53	4.17E-02	1.74E-07	1.01E-03	1.35E+05	4.09E+04	1.50E-01	
AA2	2.33E-01	9.23E-03	1.13E-03	6.24E+04	1.90E+04	1.48E-01	
GH13_40	5.79E-01	7.21E-07	2.05E-03	5.34E+04	1.72E+04	1.40E-01	
GH25	1.02E-01	2.66E-07	2.62E-03	8.12E+04	2.68E+04	1.37E-01	
GH55_2	4.37E-02	1.30E-05	2.72E-03	1.13E+05	3.76E+04	1.37E-01	
GH13_34	4.37E-02	3.35E-03	3.58E-03	8.60E+04	2.94E+04	1.33E-01	
CE14	2.00E-01	5.13E-21	3.74E-03	5.54E+04	1.90E+04	1.32E-01	
AA1	2.96E-01	5.52E-18	4.20E-03	4.54E+04	1.58E+04	1.30E-01	
AA3_1	1.85E-01	1.79E-18	4.50E-03	5.86E+04	2.05E+04	1.29E-01	
GH51_3	2.92E-02	9.66E-04	4.66E-03	1.09E+05	3.83E+04	1.29E-01	
GH19	9.17E-02	1.65E-04	5.94E-03	7.10E+04	2.57E+04	1.25E-01	
GH73	4.37E-02	5.39E-10	6.86E-03	8.70E+04	3.21E+04	1.23E-01	
CBM92	1.25E-02	8.37E-03	7.23E-03	1.30E+05	4.81E+04	1.22E-01	
PL1	1.67E-02	1.45E-02	7.50E-03	-1.66E+05	6.20E+04	1.22E-01	
PL1_2	1.67E-02	1.45E-02	7.50E-03	-1.66E+05	6.20E+04	1.22E-01	
GH15	8.13E-02	1.81E-09	9.80E-03	6.48E+04	2.50E+04	1.18E-01	
GT6	1.67E-02	8.31E-01	1.01E-02	1.37E+05	5.30E+04	1.17E-01	
GH133	2.94E-01	5.48E-34	1.21E-02	8.51E+04	3.38E+04	1.14E-01	
GH24	3.12E-01	1.66E-05	1.31E-02	3.82E+04	1.53E+04	1.13E-01	
GH19_2	2.50E-02	1.32E-05	1.34E-02	9.02E+04	3.64E+04	1.13E-01	
GH68_2	1.25E-02	2.40E-02	1.35E-02	1.48E+05	5.98E+04	1.13E-01	
CE1	3.42E-01	4.80E-25	1.40E-02	5.27E+04	2.14E+04	1.12E-01	
GH19_1	1.06E-01	3.46E-04	1.44E-02	5.82E+04	2.37E+04	1.12E-01	
GH16_3	1.25E-02	5.27E-02	1.50E-02	-1.32E+05	5.42E+04	1.11E-01	
GH16_5	1.25E-02	5.27E-02	1.50E-02	-1.32E+05	5.42E+04	1.11E-01	
CE3	1.67E-01	2.27E-19	1.56E-02	6.72E+04	2.77E+04	1.10E-01	
AA1_1	9.17E-02	1.79E-02	1.58E-02	5.20E+04	2.15E+04	1.10E-01	
GT61	5.00E-02	1.76E-02	1.65E-02	8.16E+04	3.39E+04	1.09E-01	
GH13_16	7.71E-01	4.70E-03	1.71E-02	3.99E+04	1.67E+04	1.09E-01	
GH16	1.46E-02	1.03E-01	1.83E-02	-1.21E+05	5.10E+04	1.08E-01	
CBM57	2.92E-02	6.62E-07	2.02E-02	1.14E+05	4.89E+04	1.06E-01	
